n_triangles,chromatic_number,max_deg,class
507,13,17,0
1357,21,23,1
388,13,16,0
1824,22,24,1
790,16,19,0
2052,24,24,1
701,15,18,0
2300,25,24,1
659,15,18,0
1804,20,24,1
841,15,20,0
1661,22,23,1
781,16,18,0
2160,24,24,1
655,15,19,0
1985,23,24,1
715,15,18,0
1775,23,24,1
854,15,20,0
2300,25,24,1
479,13,18,0
1649,22,24,1
421,12,19,0
1954,23,24,1
363,10,16,0
1855,22,24,1
692,14,19,0
2129,24,24,1
456,13,16,0
1571,21,24,1
985,17,20,0
2177,24,24,1
637,16,17,0
1418,21,23,1
1113,19,23,0
1456,19,22,1
754,15,20,0
1522,21,23,1
496,12,16,0
1599,21,23,1
344,13,15,0
2030,24,24,1
906,16,21,0
1962,23,24,1
418,14,16,0
1982,23,24,1
629,13,19,0
1586,22,24,1
619,15,18,0
1718,22,24,1
399,12,16,0
1803,22,24,1
421,11,16,0
1492,20,24,1
862,18,18,0
1403,20,24,1
635,13,19,0
1877,23,24,1
529,14,18,0
1876,23,23,1
1126,19,20,0
1345,20,24,1
603,12,18,0
1986,22,24,1
641,16,16,0
1724,21,24,1
432,13,15,0
1676,22,24,1
738,16,20,0
1781,23,23,1
550,12,18,0
2060,24,24,1
449,12,17,0
2300,25,24,1
810,15,20,0
1431,20,24,1
329,10,15,0
1798,23,24,1
304,13,13,0
1975,22,24,1
445,10,17,0
2052,24,24,1
582,13,19,0
2155,23,24,1
820,16,20,0
1655,22,24,1
706,14,20,0
1726,22,24,1
607,13,19,0
1945,23,24,1
993,16,20,0
2027,24,24,1
649,16,18,0
1691,22,24,1
673,15,18,0
1438,21,22,1
345,12,14,0
1543,22,23,1
1109,18,20,0
2034,24,24,1
700,15,20,0
1294,19,22,1
905,17,21,0
1807,23,23,1
402,13,16,0
1519,21,23,1
578,15,18,0
1670,20,24,1
583,12,19,0
1349,21,23,1
497,11,19,0
1853,22,24,1
473,12,18,0
2255,24,24,1
608,14,17,0
1941,22,24,1
418,11,17,0
2090,24,24,1
809,17,18,0
2017,23,24,1
1161,18,21,0
1781,22,23,1
610,14,18,0
1597,22,24,1
509,14,18,0
1742,22,24,1
772,16,19,0
2026,23,24,1
520,13,18,0
1800,22,24,1
655,15,17,0
1681,22,23,1
481,12,18,0
2069,24,24,1
799,15,19,0
2027,24,24,1
775,16,18,0
1999,22,24,1
506,13,17,0
1897,23,24,1
389,13,16,0
1438,20,23,1
791,15,19,0
1683,22,24,1
657,16,17,0
1626,22,24,1
280,11,14,0
1532,21,23,1
639,15,19,0
1696,22,24,1
534,13,18,0
1533,21,23,1
414,11,15,0
2300,25,24,1
516,12,17,0
1712,22,24,1
851,16,20,0
1461,21,22,1
592,15,18,0
1778,23,24,1
601,15,16,0
1836,23,24,1
1086,18,20,0
1737,21,24,1
558,15,17,0
1607,22,23,1
905,17,19,0
1820,23,24,1
494,14,18,0
2079,24,24,1
544,13,18,0
1735,20,23,1
740,16,19,0
1631,22,24,1
651,14,20,0
2052,24,24,1
709,16,19,0
1608,20,24,1
464,12,16,0
2214,24,24,1
1138,19,21,0
2024,24,23,1
1059,17,21,0
1775,22,24,1
727,15,20,0
1606,22,23,1
921,17,19,0
1649,22,24,1
437,14,15,0
1786,22,23,1
1126,16,22,0
1957,23,24,1
1451,21,21,0
1651,21,24,1
751,16,18,0
2052,23,24,1
282,10,14,0
1846,22,24,1
742,15,19,0
1534,20,23,1
408,14,15,0
2160,24,24,1
879,18,20,0
2300,25,24,1
589,11,19,0
2038,23,24,1
593,13,18,0
1828,23,24,1
485,14,18,0
1680,21,24,1
900,15,21,0
1600,21,24,1
597,15,18,0
2024,24,23,1
437,12,16,0
1007,17,23,1
736,16,18,0
2052,24,24,1
431,14,14,0
1681,21,24,1
921,17,20,0
2160,24,24,1
255,9,13,0
1453,21,22,1
408,12,16,0
1807,23,24,1
504,12,17,0
1772,23,23,1
659,15,19,0
1814,21,24,1
669,13,20,0
1690,22,24,1
607,14,19,0
2024,24,23,1
748,15,19,0
1924,23,23,1
950,18,19,0
1666,21,24,1
416,13,15,0
1846,22,23,1
459,14,17,0
1462,21,23,1
702,12,21,0
1915,23,24,1
1249,19,20,0
1629,21,23,1
366,13,16,0
1935,22,24,1
354,12,15,0
1015,18,21,1
601,13,17,0
1772,23,23,1
545,13,17,0
2195,24,24,1
661,13,19,0
1711,21,24,1
320,12,15,0
2069,24,24,1
1002,17,21,0
1726,22,24,1
990,17,22,0
1718,21,24,1
713,15,18,0
2052,24,24,1
660,14,19,0
1217,18,23,1
1002,17,21,0
2026,23,24,1
616,15,17,0
1707,22,24,1
725,15,18,0
1649,22,24,1
1184,18,22,0
1751,22,24,1
399,12,16,0
1315,20,22,1
415,12,16,0
1566,21,22,1
305,11,14,0
1210,20,20,1
801,14,20,0
2277,24,24,1
1253,19,23,0
2300,25,24,1
763,13,20,0
2300,25,24,1
662,16,18,0
1333,20,23,1
723,14,19,0
2277,24,24,1
535,14,16,0
1476,21,24,1
899,15,20,0
1466,21,23,1
785,17,18,0
2060,24,24,1
939,17,22,0
2255,24,24,1
402,11,16,0
1512,20,24,1
1108,19,21,0
1917,23,24,1
1019,17,20,0
2234,24,24,1
748,14,20,0
1586,22,22,1
617,14,18,0
1565,21,24,1
1065,19,20,0
1816,23,23,1
530,13,18,0
1577,21,23,1
584,14,19,0
1358,19,23,1
636,14,20,0
1196,19,23,1
630,13,19,0
1879,23,24,1
521,13,18,0
1655,22,24,1
636,14,17,0
1726,22,23,1
945,16,21,0
1659,22,23,1
347,12,16,0
1792,23,23,1
346,12,17,0
1727,21,24,1
580,15,17,0
1783,22,24,1
647,15,17,0
1771,23,22,1
702,17,17,0
1915,23,24,1
894,17,22,0
2024,24,23,1
355,12,15,0
2024,24,23,1
239,10,15,0
1687,22,24,1
859,17,20,0
1844,22,24,1
667,14,18,0
1509,21,24,1
388,12,16,0
1928,23,24,1
461,13,17,0
1675,22,24,1
578,14,18,0
1953,23,24,1
610,15,17,0
1952,23,24,1
914,15,20,0
1892,23,24,1
581,14,18,0
1718,20,23,1
814,17,18,0
2034,24,24,1
1179,19,22,0
1749,22,23,1
962,16,20,0
1832,22,24,1
442,13,16,0
1286,19,23,1
522,13,19,0
1597,22,23,1
726,15,18,0
2300,25,24,1
934,16,19,0
1786,23,23,1
563,13,19,0
1530,20,24,1
736,15,19,0
1780,23,24,1
410,13,16,0
2039,24,24,1
763,15,19,0
2024,24,23,1
724,15,17,0
2177,24,24,1
415,12,19,0
1565,21,24,1
569,15,17,0
1691,22,24,1
672,14,18,0
1826,23,23,1
873,17,20,0
1385,20,22,1
1054,17,22,0
2300,25,24,1
366,12,16,0
1827,23,24,1
684,15,18,0
1603,21,24,1
535,14,18,0
1862,23,23,1
537,15,18,0
2079,24,24,1
844,15,20,0
1917,22,24,1
1071,17,21,0
1790,22,24,1
715,14,20,0
1433,21,24,1
426,13,18,0
2122,23,24,1
660,14,19,0
1791,23,24,1
771,15,20,0
1309,20,22,1
331,12,14,0
1347,20,24,1
640,16,18,0
1858,23,24,1
753,16,18,0
1410,21,23,1
889,16,20,0
1276,20,23,1
1438,20,24,0
2102,24,24,1
600,14,17,0
1940,23,24,1
402,10,16,0
1587,22,23,1
876,16,20,0
1843,23,24,1
465,13,17,0
1624,22,24,1
553,14,17,0
2300,25,24,1
326,12,15,0
1786,22,24,1
760,15,21,0
1777,23,24,1
534,15,16,0
1967,23,24,1
342,12,17,0
1967,23,24,1
278,10,14,0
2115,24,24,1
576,14,19,0
1967,23,24,1
977,17,21,0
1830,21,24,1
689,15,19,0
1712,22,23,1
300,12,13,0
